ID,级别,维度,缺陷,行业依据,整改建议,判定
P0-1,阻断,范围,缺 Velocity/容量规划：只有迭代周期，无历史速度与规模估算,Scrum capacity planning,PBI 加 S/M/L 估算；迭代吸收量=上期速度×可用人日,"FAIL"
P0-2,阻断,质量,缺迭代回顾 Retrospective：循环无 review+回顾，PDCA/CSI 断链,Scrum 三环、ITIL CSI,迭代末轻量评审并入回顾记录 CSV,"FAIL"
P1-1,主要,质量,发布级门禁未定义自动化质量阈值,DORA/DevOps,check_gate 增补：自动化测试通过率≥95%、关键路径全绿、SAST 无高危,"WARN"
P1-2,主要,质量,技术债无显式管理,Agile TD 实践,01_迭代配置.csv 登记技术债，每 N 迭代分配~20%容量偿还,"WARN"
P1-3,主要,范围,DoD 未达潜在可发布标准,Scrum potentially shippable,DoD 补：部署预生产/金丝雀+冒烟通过,"WARN"
P1-4,主要,范围,架构角色在敏捷中定位模糊,SAFe/Architectural Runway,明确迭代0架构铺垫或随迭代演进+每发布点ADR评审,"WARN"
P1-5,主要,范围,迭代内变更吸收过于宽松,Scrum Sprint 目标冻结,迭代内范围冻结，变更排下迭代；仅P0缺陷可迭代内吸收,"WARN"
P1-6,主要,进度,测试角色单线成瓶颈,Test Left 实践,测试左移：开发内联单测+迭代级集成测试，发布点才全量回归,"WARN"
P2-1,建议,进度,缺看板可视化,Kanban 信息辐射源,迭代燃尽图以 CSV 承载，作 progress_update 敏捷视图,"INFO"
P2-2,建议,范围,验收≤10工作日无改造前基线比对,指标对比原则,先测瀑布基线再比对,"INFO"
P2-3,建议,进度,WIP 数值缺校准依据,Little's Law,按实际吞吐校准,"INFO"
P2-4,建议,安全,缺机制性防门禁绕过,门禁独立执行,release_gate 独立执行+无发布点配置禁止投产,"INFO"
复评,结论,全部,v21.2.1 已并入 2 P0 + 6 P1 + 4 P2 整改项,评审闭环,发布级门禁含自动化阈值/防绕过；范围冻结；回顾+Velocity；技术债+测试左移,PASS
复评,备注,范围,原 P0-1/P0-2、P1-1~6、P2-2/3/4 全部落地于方案 §1.2~§1.7/§3/§6,--,门禁 5 项验收标准同步更新,PASS
