阶段,计划产出物,实际产出物,状态,说明,差异
策略分析,架构策略分析报告,架构策略分析报告,已完成,✅ 已产出,无
策略分析,质量属性需求矩阵,质量属性需求矩阵,已完成,✅ 已产出,无
策略分析,技术选型评估矩阵,技术选型评估矩阵,已完成,✅ 已产出,无
策略分析,架构风险登记册,架构风险登记册,已完成,✅ 已产出,无
逻辑设计,架构设计文档,架构设计文档,已完成,✅ 已产出,无
逻辑设计,系统上下文图,系统上下文图,已完成,✅ 已产出,无
逻辑设计,容器视图,容器视图,已完成,✅ 已产出,无
逻辑设计,组件设计文档,组件设计文档,已完成,✅ 已产出,无
逻辑设计,接口设计文档,接口设计文档,已完成,✅ 已产出,无
逻辑设计,七原则合规检查表,七原则合规检查表,已完成,✅ 已产出,无
数据安全,数据架构设计,数据架构设计,已完成,✅ 已产出,无
数据安全,安全架构设计,安全架构设计,已完成,✅ 已产出,无
架构决策,ADR文档集,ADR x 6,已完成,✅ 已产出6份关键ADR,无
架构决策,ATAM权衡分析报告,ATAM权衡分析报告,已完成,✅ 已产出,无
架构决策,架构决策矩阵,架构决策矩阵,已完成,✅ 已产出,无
架构评审,评审报告摘要,评审报告摘要,已完成,✅ 已产出,无
架构评审,评审报告缺陷清单,评审报告缺陷清单,已完成,✅ 已产出,无
架构评审,评审报告逐原则,评审报告逐原则,已完成,✅ 已产出,无
架构评审,评审报告范围跟踪,评审报告范围跟踪,已完成,✅ 已产出,无
架构评审,评审报告角色权限,评审报告角色权限,已完成,✅ 已产出,无
基线固化,架构设计说明书,架构设计说明书,待启动,评审通过后产出,待评审通过
基线固化,开发指南,开发指南,待启动,评审通过后产出,待评审通过
基线固化,架构资产清单,架构资产清单,待启动,评审通过后产出,待评审通过
