"主机","资源类型","资源标识","资源名称","环境","端口","容器名","模型名","占用项目","注册日期","状态","优先级","备注"
"gogojajadeMac-mini","软件","homebrew","Homebrew 6.0.15 (92 formula + 1 cask)","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","高","包管理器"
"gogojajadeMac-mini","软件","git","Git 2.50.1","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","高","版本控制"
"gogojajadeMac-mini","软件","node","Node v26.3.0","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","高","运行时"
"gogojajadeMac-mini","软件","npm","npm 11.16.0","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","高","包管理器"
"gogojajadeMac-mini","软件","python3","Python 3.9.6 (系统)","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","高","运行时"
"gogojajadeMac-mini","软件","python3.12","Python 3.12 (Homebrew)","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","高","运行时"
"gogojajadeMac-mini","软件","ffmpeg","FFmpeg 8.1.1","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","中","多媒体"
"gogojajadeMac-mini","软件","cmake","CMake 4.3.2","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","中","构建"
"gogojajadeMac-mini","软件","cloudflared","cloudflared 2026.5.0","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","中","隧道"
"gogojajadeMac-mini","软件","ngrok","ngrok 3.39.1","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","中","隧道"
"gogojajadeMac-mini","软件","tailscale","Tailscale (Homebrew)","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","中","组网"
"gogojajadeMac-mini","软件","docker-desktop","Docker Desktop 4.85.0","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","高","容器运行时"
"gogojajadeMac-mini","软件","visual-studio-code","Visual Studio Code","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","高","IDE"
"gogojajadeMac-mini","软件","opencode","OpenCode (brew + App)","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","高","AI IDE"
"gogojajadeMac-mini","软件","trae-cn","TRAE CN / TRAE SOLO CN","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","高","AI IDE"
"gogojajadeMac-mini","软件","ollama","Ollama (App + brew)","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","高","模型运行时"
"gogojajadeMac-mini","软件","google-chrome","Google Chrome","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","中","浏览器"
"gogojajadeMac-mini","软件","github-copilot","GitHub Copilot","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","中","AI 编程"
"gogojajadeMac-mini","软件","llama-cpp","llama.cpp (Homebrew)","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","中","模型推理"
"gogojajadeMac-mini","软件","java","Java (系统)","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","中","运行时"
"gogojajadeMac-mini","软件","swift-clang","Swift/Clang 工具链","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","中","工具链"
"gogojajadeMac-mini","软件","wps-office","WPS Office","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","低","办公"
"gogojajadeMac-mini","软件","wechat","微信","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","低","通讯"
"gogojajadeMac-mini","软件","feishu","飞书","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","低","通讯"
"gogojajadeMac-mini","软件","qianwen","通义千问 (Qianwen.app)","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","低","AI"
"gogojajadeMac-mini","软件","couzi","扣子 (Coze)","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","低","AI"
"gogojajadeMac-mini","软件","evernote","印象笔记","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","低","笔记"
"gogojajadeMac-mini","软件","whatsapp","WhatsApp","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","低","通讯"
"gogojajadeMac-mini","软件","awesun","AweSun 远程控制","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","低","远程"
"gogojajadeMac-mini","大模型","model","qwen2.5-coder:7b","dev","-","-","qwen2.5-coder:7b","DevProjectTeamSkill","2026-08-14","已占用","高","本地 Ollama"
"gogojajadeMac-mini","大模型","model","qwen2.5:7b","dev","-","-","qwen2.5:7b","DevProjectTeamSkill","2026-08-14","已占用","高","本地 Ollama"
"gogojajadeMac-mini","GPU","gpu","Apple-M2","dev","-","-","-","DevProjectTeamSkill","2026-08-14","已占用","高","Mac14,3 / 16GB 统一内存"
"gogojajadeMac-mini","端口","port","Ollama API","dev","11434","-","-","DevProjectTeamSkill","2026-08-14","已占用","高","本地模型推理统一入口"
"gogojajadeMac-mini","端口","port","ngrok 隧道管理","dev","4040","-","-","DevProjectTeamSkill","2026-08-14","已占用","低","隧道"
"gogojajadeMac-mini","端口","port","Python 本地服务","dev","5080","-","-","DevProjectTeamSkill","2026-08-14","已占用","中","开发服务"
"gogojajadeMac-mini","端口","port","Python 本地服务","dev","5101","-","-","DevProjectTeamSkill","2026-08-14","已占用","中","开发服务"
"gogojajadeMac-mini","容器","container","docker-desktop","dev","-","docker-desktop","-","DevProjectTeamSkill","2026-08-14","已占用","高","Docker Desktop 4.85.0"
