项目,里程碑,计划日期,实际日期,偏差(天),SPI,关键路径标记,状态,责任方,更新记录,更新日期
DevProjectTeamSkill,Phase1-1 free-api-hub 回归技能,2026-09-01,2026-09-01,0,1.0,否,已完成,douglas,边界清理+model-selection 技能落地,2026-09-01
DevProjectTeamSkill,Phase1-2 更新项目群文档,2026-09-01,2026-09-01,0,1.0,否,已完成,douglas,v3.0 方案+架构图+模型清单,2026-09-01
DevProjectTeamSkill,Phase1-3 配置直连阿里云百炼,2026-09-01,2026-09-01,0,1.0,否,已完成,douglas,全局 opencode.jsonc 已配置,2026-09-01
DevProjectTeamSkill,Phase1-4 验证本地模型调用,2026-09-01,2026-09-01,0,1.0,否,已完成,douglas,Ollama qwen2.5:7b/coder:7b 验证通过,2026-09-01
DevProjectTeamSkill,Phase2-1 dev-project-mgmt 独立,2026-09-01,2026-09-01,0,1.0,否,已完成,douglas,本地骨架已建+立项+授权 AUTH-022,2026-09-01
DevProjectTeamSkill,Phase2-2 dev-security-tools 独立,2026-09-01,2026-09-01,0,1.0,否,已完成,douglas,本地骨架已建+立项+授权 AUTH-023,2026-09-01
DevProjectTeamSkill,Phase2-3 dev-test-tools 独立,2026-09-01,2026-09-01,0,1.0,否,已完成,douglas,本地骨架已建+立项+授权 AUTH-024,2026-09-01
DevProjectTeamSkill,Phase2-4 三项目远端仓库,2026-09-01,2026-09-01,0,1.0,否,已完成,douglas,远端仓库已建好，各项目独立维护,2026-09-01
DevProjectTeamSkill,Phase3-1 role-governance 文档管理扩展,2026-09-01,2026-09-01,0,1.0,否,已完成,douglas,doc-management.md + v21.4.0,2026-09-01
DevProjectTeamSkill,Phase3-2 worktree-isolation 环境管理扩展,2026-09-01,2026-09-01,0,1.0,否,已完成,douglas,env-management.md + v1.2.0,2026-09-01
DevProjectTeamSkill,Phase3-3 role-deployment 部署工具集扩展,2026-09-01,2026-09-01,0,1.0,否,已完成,douglas,deploy-toolkit.md + v21.1.0,2026-09-01
DevProjectTeamSkill,Phase3-4 project-memory 知识库扩展,2026-09-01,2026-09-01,0,1.0,否,已完成,douglas,knowledge-base.md + v1.2.0,2026-09-01
DevProjectTeamSkill,Phase4-2 成本监控和告警,2026-09-15,2026-09-01,0,1.0,否,已完成,douglas,成本监控脚本 cost_monitor.py + 告警阈值,2026-09-01
DevProjectTeamSkill,Phase4-3 最佳实践文档,2026-09-15,2026-09-01,0,1.0,否,已完成,douglas,最佳实践 v3.0 使用指南+案例+经验教训,2026-09-01
DevProjectTeamSkill,Phase4-1 dev-deploy-tools 独立化评估,2026-12-01,2026-09-01,-91,1.0,否,已完成,douglas,EVAL-2026-09-01-001：不独立化（0/3判据满足），继续技能形态维护,2026-09-01
DevProjectTeamSkill,迭代 IT-02,,,,,否,进行中,,迭代目标: ,2026-09-03
DevProjectTeamSkill,迭代 IT-02 复盘,,,,,否,已完成,,复盘结论: ,2026-09-03
DevProjectTeamSkill,阶段 项目启动,,,,,否,进行中,,阶段目标: ,2026-09-03
DevProjectTeamSkill,阶段 需求,,,,,否,进行中,,阶段目标: ,2026-09-03
DevProjectTeamSkill,阶段 架构,,,,,否,进行中,,阶段目标: ,2026-09-03
DevProjectTeamSkill,阶段 开发,,,,,否,进行中,,阶段目标: ,2026-09-03
