操作ID,会话ID,主机标识,客户端工具,模型名称,操作时间,操作类型,对象,风险等级,授权人,授权ID,是否备份,备份路径,留痕时间,结果,确认词,参数哈希
OP-AUDIT-001,未知,未知,未知,未知,2026-08-07T11:46:00+08:00,系统文件恢复,%SYSTEMDRIVE%\...\System32\drivers\etc\hosts,高,用户明确授权,未知,是,<repo>/.backup\hosts_restore_20260807_114448\hosts_standard_template.txt,2026-08-07 11:46:00,成功,—,—
OP-AUDIT-002,未知,未知,未知,未知,2026-08-07T23:23:14+08:00,删除项目内文件,opencode.json.bak.20260807231111（配置备份残留）,中,用户明确授权(文档整理),未知,是,DevProjectTeamSkill/.backup/opencode_bak_20260807_232314/opencode.json.bak.20260807231111,2026-08-07 23:23:14,成功,—,—
OP-AUDIT-003,未知,未知,未知,未知,2026-08-07T23:26:42+08:00,删除项目内目录,C:/（deploy_skills.sh 在 macOS 上误将 Windows 全局路径当相对路径部署产生）,低,用户明确授权(文档整理),未知,是,DevProjectTeamSkill/.backup/C_deploy_miswrite_20260807_232642/,2026-08-07 23:26:42,成功,—,—
OP-AUDIT-004,未知,未知,未知,未知,2026-08-11T16:10:38+08:00,修改项目外文件(opencode全局配置),%SYSTEMDRIVE%\...\<user>\.config\opencode\opencode.jsonc,中,用户明确授权,未知,是,<repo>/.backup\opencode_global_cfg_20260811_153728\opencode.jsonc,2026-08-11 16:10:38,成功(新增zhipu/dashscope双provider三模型配置),—,—
OP-AUDIT-005,未知,未知,未知,未知,2026-08-11T16:50:34+08:00,修改项目外文件(opencode全局配置),%SYSTEMDRIVE%\...\<user>\.config\opencode\opencode.jsonc,中,用户明确授权,未知,是,<repo>/.backup\opencode_global_cfg_20260811_165034\opencode.jsonc,2026-08-11 16:50:34,成功(新增ollama本地provider-qwen2.5:7b),—,—
OP-AUDIT-006,未知,未知,未知,未知,2026-08-12T10:18:25+08:00,修改项目外文件(opencode全局配置),%SYSTEMDRIVE%\...\<user>\.config\opencode\opencode.jsonc,中,用户明确授权,未知,是,<repo>/.backup\opencode_global_cfg_20260812_101825\opencode.jsonc,2026-08-12 10:18:25,成功(ollama本地模型deepseek-r1:7b替换为qwen3:4b),—,—
OP-AUDIT-007,未知,未知,未知,未知,未知,清理系统缓存文件,用户Temp与CrashDumps临时文件,中,用户明确授权,未知,是(临时文件免备份),-,2026-08-12 10:30,成功(释放C盘6.03GB:1.64->7.67GB),—,—
OP-AUDIT-008,未知,未知,未知,未知,未知,软件升级,Ollama 官方安装包(0.6.2->0.32.9),高,用户明确授权,未知,是(模型保留在D盘已验证),-,2026-08-12 12:31,成功(保留runner库<apps>/ollama_location\lib\ollama,—,—
OP-AUDIT-009,未知,未知,未知,未知,未知,配置修改,全局opencode.jsonc为本地模型补capabilities(reasoning/tool_call),中,用户明确授权,未知,是(.backup/opencode_global_cfg_20260812_141030_before_capabilities.jsonc),-,2026-08-12 14:12,成功(qwen3:4b加reasoning+tool_call,—,—
OP-AUDIT-010,未知,未知,未知,未知,未知,配置删除,全局opencode.jsonc删除dashscope provider(qwen2.5-7b-instruct/qwen2.5-coder-7b-instruct两个API模型),中,用户明确授权,未知,是(.backup/opencode_global_cfg_20260812_141759_before_dashscope_removal.jsonc),-,2026-08-12 14:20,成功(providers仅剩ollama/zhipu),—,—
