REQ_ID,REQ_TITLE,AE_ID,MOD_ID,TC_ID,PRIORITY,SCOPE_STATUS,BASELINE_VER,SOURCE,VERIFY_METHOD,CHANGE_REFS
REQ-01,启动阶段裁剪与敏捷迭代配置,AE-001,"MOD-001,MOD-002,MOD-003","TC-005,TC-006",Must,Verified,v1.0.0,用户诉求-敏捷裁剪,"TC-005,TC-006",
REQ-02,迭代末轻量评审与回顾,AE-002,"MOD-004,MOD-005",TC-004,Must,Verified,v1.0.0,评审纪律,TC-004,
REQ-03,发布级强门禁,AE-002,"MOD-004,MOD-006,MOD-007,MOD-008,MOD-009,MOD-010,MOD-011",TC-004,Must,Verified,v1.0.0,质量门禁,TC-004,
REQ-04,PBI 与 MoSCoW 双向追溯,AE-003,"MOD-011,MOD-012",TC-006,Must,Verified,v1.0.0,追溯标准,TC-006,
REQ-05,多项目环境资产注册与冲突仲裁,AE-004,"MOD-013,MOD-017",TC-002,Should,Verified,v1.0.0,多项目隔离,TC-002,
REQ-06,高危操作授权登记与审计留痕,AE-004,"MOD-014,MOD-015,MOD-016","TC-001,TC-003",Must,Verified,v1.0.0,安全合规,"TC-001,TC-003",
REQ-IT2-01,迭代开始前容量与技术债修正,AE-001,"MOD-001,MOD-003",TC-005,Should,Verified,v1.0.0,迭代配置,TC-005,
REQ-IT2-02,MoSCoW backlog 排序与未完成项转化,AE-003,"MOD-011,MOD-012",TC-006,Must,Verified,v1.0.0,backlog纪律,TC-006,
REQ-IT2-03,迭代中提前执行发布前检查,AE-002,"MOD-004,MOD-005",TC-004,Could,Verified,v1.0.0,发布前检查,TC-004,
REQ-IT2-04,环境资产注册与冲突仲裁持续核查,AE-004,"MOD-013,MOD-017",TC-002,Should,Verified,v1.0.0,多项目隔离,TC-002,
REQ-IT2-05,交接与压缩纪律执行,AE-005,"MOD-001,MOD-015",TC-003,Should,Verified,v1.0.0,交接纪律,TC-003,
