视角,检查ID,检查项,状态,严重度,证据,建议
architect,ARCH-001,check_skill_release_gate.py ALL_ROLES 漏 role-program-mgmt,FAIL,high,tools/check_skill_release_gate.py:13-14 仅 8 包，且与 check_version_consistency.py:18 9 包不一致,补 role-program-mgmt
architect,ARCH-002,check_skill_closure.py ALL_ROLES 漏 role-program-mgmt,FAIL,high,tools/check_skill_closure.py ALL_ROLES 8 包，未覆盖第 9 角色包,补 role-program-mgmt
architect,ARCH-003,release_gate 要求 Load when vs descriptions 禁止英文尾巴,FAIL,high,check_skill_release_gate.py:26 要求字面 Load when；check_skill_descriptions.py:18 禁英文尾巴；8 角色全部失败,统一标准：以 token_standard §2.1 单语言为准，release_gate 改查中文触发词
architect,ARCH-004,固化的发布级门禁必然失败,FAIL,high,tools/solidify.py:133 [1c/5] run_release_gate 必失败 8 包即 sys.exit(1)，固化链实际不可用,修复 ARCH-001/003 后恢复
architect,ARCH-005,SKILL_INDEX.md ../shared/ 相对路径错误,FAIL,medium,SKILL_INDEX.md:26 位于 .trae/skills/ 引用 ../shared/authoring.md 解析到 .trae/shared/（不存在）,改为 shared/authoring.md
architect,ARCH-006,7 个子技能相对引用路径错误,FAIL,medium,skills/*/SKILL.md 用 ../../references/COPYRIGHT.md 解析到 dev-project-team-skill/references（不存在），应为 ../../../references/,批量修正为 ../../../references/ 与 ../../SKILL.md
architect,ARCH-007,role-development/domain/strategy.md 相对引用错误,FAIL,medium,strategy.md:? 引用 ../shared/references/environment_standard.md 解析错误，应为 ../../shared/,修正
architect,ARCH-008,program_details.md 相对引用错误,FAIL,medium,program-management__resources/program_details.md 引用 ../domain/program-management.md 解析错误,修正为 ../program-management.md
architect,ARCH-009,shared/references/api_contracts.md 引用错误,FAIL,medium,引用 ../shared/authoring.md 解析到 shared/shared/（不存在）,改为 ../authoring.md
content,CR-001,6 个子技能 SKILL.md 繁体正文,FAIL,high,multi-perspective-validation/commit-protocol/lsp-ast-integration/project-memory/self-improve/worktree-isolation 正文繁体（触发规则/驗證/審計），全库简体,统一转简体中文
content,CR-002,6 个子技能缺闭环执行系统,FAIL,high,skills/*/SKILL.md 均无 任务入口/执行状态/验收门禁/失败处理/产出与交接/审计记录（check_skill_closure.py 不覆盖子技能，盲区）,closure 校验扩展到子技能或补充章节
content,CR-003,6 个子技能缺版本页脚,FAIL,medium,均无 **文档版本**/**最后更新** 页脚,补版本页脚并纳入 check_version_consistency
content,CR-004,multi-perspective-validation 版本落后,FAIL,medium,仅 v1.0.0/2026-08-08，落后于库 v21.7.0,升版至 v21.7.0 并同步变更
content,CR-005,description/正文语言不一致,FAIL,low,7 子技能 description 简体但 6 个正文繁体,统一简体
content,CR-006,references 4 个文档缺版本页脚,FAIL,low,COPYRIGHT/api_contracts/common_standards/directory_structure 无 **文档版本**,补页脚
content,CR-007,主库 references 与 shared 副本不同步,FAIL,high,api_contracts/model_selection/program_management 主库新、shared 旧；multi_project_isolation/github_access 缺失,明确单一真实源并同步
security,SEC-001,tools/deploy_skills.py 硬编码真实用户名,FAIL,high,deploy_skills.py:8 与 deploy_skills.sh:24 <USERPROFILE> 泄漏本机用户名（B级）,改用 %USERPROFILE% 占位符或经 load_secret
security,SEC-002,B级脱敏自检通过（其余）,PASS,high,github_access/AGENTS.md/docs IP 为 GitHub 公开候选 IP（豁免），iron_rules 示例合规,—
compliance,COM-001,description 150~250 字符,FAIL,medium,16 个 SKILL.md 全部合规,—
compliance,COM-002,version_consistency 校验,FAIL,medium,check_version_consistency.py 9 包全过但漏子技能,—
compliance,COM-003,闭环执行门禁,FAIL,medium,8 角色包全过，但 7 子技能未纳入,—
