编号,质量属性,优先级,场景描述,刺激源,响应,响应度量,来源,状态
QA-01,可靠性,P0,调度进程崩溃后重启未完成任务能恢复,进程崩溃,自动恢复任务状态重试或标记失败,恢复时间≤60s无任务丢失,策略分析,已确认
QA-02,可靠性,P0,系统时钟漂移导致调度偏差,NTP偏差,基于实际时间校正避免漏跑,偏差≤30s不影响调度,策略分析,已确认
QA-03,幂等性,P0,同一任务被重复触发,重复触发,检测幂等键跳过重复执行,重复执行零副作用,策略分析,已确认
QA-04,可观测性,P1,任务失败时触发告警,任务失败,记录失败原因推送告警,告警延迟≤5min,策略分析,已确认
QA-05,可维护性,P1,新增一个定时任务,开发人员,配置任务+编写执行脚本,接入时间≤30min,策略分析,已确认
QA-06,可扩展性,P2,任务数量从10增长到1000,业务增长,系统性能无显著下降,调度延迟增加≤20%,策略分析,已确认
QA-07,跨平台兼容性,P2,三平台一致行为,多环境,macOS/Linux/Windows功能一致,三平台测试通过率100%,策略分析,已确认
QA-08,性能,P3,调度延迟低,调度触发,任务按时启动,调度触发延迟≤10s,策略分析,已确认
QA-09,安全性,P1,任务执行不越权访问外部资源,越权操作,访问边界检查阻断越权,越权拦截率100%,策略分析,已确认
QA-10,可审计性,P1,所有任务执行留痕可追溯,审计需求,执行记录完整可查询,记录完整率100%,策略分析,已确认
