编号,维度,严重度,类别,发现项,影响范围,现状证据,修复建议,状态,回归状态
F-01,P0 工具链,P2,可执行权限,6 个 .sh 脚本可执行权限,macOS/Linux 直接执行,tools/*.sh 全部 -rwxr-xr-x(2026-08-22 复测),保持现状,已修复,已修复
F-02,P0 工具链,P3,shebang,3 个核心 .py 入口缺 shebang,直接 ./tools/xxx.py 执行失败,tools/*.py 全量 head -1 检查无缺失(0 文件无 shebang),保持现状,已修复,已修复
F-03,P0 工具链,P3,双实现缺失,pre-commit-secret-scan.sh 与 restore_github_push.sh 无 .py 对应,Windows 用户无法使用,双实现:package_skills/solidify/publish_production/deploy_skills;仅 .sh:pre-commit-secret-scan/restore_github_push,pre-commit 钩子为 git 专用(Windows 用 quality_gate 替代);restore 为一次性工具,接受风险,维持接受风险
F-04,P1 架构,P4,残留文件,根目录 NUL 文件(Windows NUL 设备名冲突产物),工作区清洁度,NUL not found(2026-08-22 复测已清除),保持现状,已修复,已修复
F-05,P1 架构,P4,未提交变更,台账/32_镜像同步记录.csv 未提交修改,台账与 git 不同步,git status: M 台账/32_镜像同步记录.csv(2026-08-22 复测仍存在),下次固化时一并提交,待修复,未修复
F-06,P2 内容,P2,description 长度,role-mgmt-consulting description 149 字符(低于 150 下限 1 字符),门禁 check_skill_descriptions.py,role-mgmt-consulting 现合规(2026-08-22 修复生效);但 role-architecture 新出现 146 字符(见 D-01),保持现状,已修复,已修复
F-07,P2 内容,P3,版本分散,9 角色包横跨 8 个版本号(v1.0.0~v21.8.1),可维护性——版本跳跃增加认知成本,role-architecture v21.0.0 / role-mgmt-consulting v1.0.0 / role-governance v21.3.4 / 编排器 v21.8.1,非阻断——各包按实际变更独立升版是合理策略;建议 SKILL_INDEX 增加版本汇总表,接受风险,维持接受风险
F-08,P2 内容,P3,大文件未 CSV 化,10+ 个 .md 超 16KB(最大 api_contracts.md 40KB),Token 效率——AI 加载占用过多 context,api_contracts 40K(源)/32K(shared)/multi_project_isolation 28K×2/orchestrator SKILL.md 32K/best-practice-solution 24K/lsp-ast 3×20K/project-init domain 20K,api_contracts 接口表部分可 CSV 化;其余为流程/架构文档按需裁剪,接受风险,维持接受风险
F-09,P3 行业实践,P4,铁律双源一致性,iron_rules.md(11 节)与 AGENTS.md(11 条+子条)内容对齐但编号体系不同,维护时可能遗漏同步,iron_rules §1~§7+子节 vs AGENTS #1~#10+7a,建议 iron_rules.md 头部标注对应 AGENTS.md 条目编号,接受风险,维持接受风险
F-10,P4 安全,P4,A 级密钥扫描,发布集零真实 A 级密钥泄露(10 处占位符告警不阻断),安全合规,desensitize --scan .trae/skills/:A 级 10 处全部为占位符(references 5+shared/references 5);tools/ A 级 6 处为 desensitize.py 规则示例,通过(占位符按规则仅告警不阻断),通过,维持通过
F-11,P4 安全,P4,.secrets 禁提交检查,.secrets/ 目录无文件被 git 跟踪,安全合规,git ls-files .secrets/ 返回空,通过,通过,维持通过
F-12,P4 安全,P4,B 级脱敏扫描,"IP 地址均属公开信息(github_ip_records.csv 84 处公网 CDN/IP),无真实内网 IP 泄露",安全合规,docs/ 85 处 B 级(github_ip_records 84+复盘 1);源 109 处 B 级分布于 11 文件,通过,通过,维持通过
F-13,门禁基线,P4,四硬门禁综合,version_consistency 10/10 ✅ / release_gate 10/10+8 子技能 ✅ / closure 10/10+8 子技能 ✅ / descriptions 9/10 ❌,基线质量,"descriptions 门禁唯一失败项由 role-mgmt-consulting 转移至 role-architecture(146 字符,见 D-01)",修复 D-01 后门禁全绿,3/4 通过,未全绿(失败项转移)
F-14,P0 工具链,P4,引用路径完整性,角色包内所有 ../shared/ ../references/ 相对引用均指向有效文件,架构完整性,"67 个 md 含 ../shared/ 或 ../references/ 引用,逐路径验证全部存在",通过,通过,维持通过
F-15,P1 架构,P4,源码单源一致性,.trae/skills/ 与三部署目录(.github/.claude/.agents)角色包目录结构一致,源码单源合规,"源 171 文件 vs 部署各 289 文件(含内嵌副本+tools/docs),结构对齐",通过(shared/references 漂移见 D-03),通过,部分回归(漂移转 D-03)
